Brand,Model,Interface,Form Factor,Capacities,Lowest Storage Capacity,Highest Storage Capacity,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,Read (MB/s),Write (MB/s),Categories,Lowest Price,Highest Price,Number of Ratings,Rating,Disk Rating,Amazons Choice,Product Link
Addlink,S70,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,512GB,2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400,3000,Mid-Range NVMe,31.44,89.44,1920,4.7,20458,No,https://amzn.to/3YPOrNj
Addlink,S90,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,1TB,2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000,4400,Mid-Range NVMe,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Addlink,S90 Lite,x4 PCIe 4.0/NVMe,M.2,512GB-4TB,512GB,4TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,5000,4500,Mid-Range NVMe,55.44,184.44,1920,4.7,Unavailable,No,https://amzn.to/402cVEy
Addlink,S91,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,1TB,2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,5000,3200,Mid-Range NVMe,83.88,172.44,1920,4.7,Unavailable,No,https://amzn.to/3n2iEMi
Addlink,S92,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,1TB,4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,QLC,96,4900,3600,Mid-Range NVMe,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Addlink,S95,x4 PCIe 4.0/NVMe,M.2,1TB-8TB,1TB,8TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,7100,6800,High-End NVMe,69.88,819.44,1694,4.7,Unavailable,No,https://amzn.to/3PVInS6
Addlink,X70,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,256GB,2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400,2500,Mid-Range NVMe,,118.44,1920,4.7,Unavailable,No,https://amazon.com/dp/B07TD45T6B
Apacer,AS2280F4,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,1TB,4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,12400,11500,High-End NVMe,,,Unavailable,Unavailable,3500,Unavailable,Unavailable
Apacer,AS2280P2,x2 PCIe 3.0/NVMe,M.2,120GB-480GB,120GB,480GB,Phison E8T,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,1580,950,Entry-Level NVMe,,,Unavailable,Unavailable,9525,Unavailable,Unavailable
Apacer,AS2280P2 Pro,x2 PCIe 3.0/NVMe,M.2,120GB-480GB,120GB,480GB,Phison E8T,"Dual-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,1580,950,Entry-Level NVMe,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
